anime_id,name,genre,type,episodes,rating,members
34240,Shelter,"Music, Sci-Fi",Music,1,8.38,71136
731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,"Adventure, Drama, Music, Sci-Fi",Music,1,8.17,31464
17949,The Everlasting Guilty Crown,Music,Music,1,8.0,11663
2768,CLAMP in Wonderland 2,"Action, Comedy, Drama, Fantasy, Magic, Music, Romance",Music,1,7.64,13985
9930,Snow Halation,Music,Music,1,7.61,8731
1047,On Your Mark,"Drama, Music, Sci-Fi",Music,1,7.6,13661
22539,"One More Time, One More Chance","Drama, Music, Romance, Slice of Life",Music,1,7.6,5660
10445,Perfect Day,Music,Music,1,7.59,7743
6399,Higashi no Eden: Falling Down,Music,Music,1,7.56,9881
10050,Macross F Music Clip Shuu: Nyankuri,Music,Music,1,7.47,3010
32953,Koi ni Naritai Aquarium,Music,Music,1,7.43,1683
14951,Wonderful Rush,Music,Music,1,7.4,6807
31780,Kimi no Kokoro wa Kagayaiteru kai?,Music,Music,1,7.35,2762
17901,All Alone With You,"Fantasy, Music",Music,1,7.35,7612
11033,"Natsu-iro Egao de 1, 2, Jump!",Music,Music,1,7.34,6939
24429,Daze,Music,Music,1,7.33,2919
20877,Music S.T.A.R.T!!,Music,Music,1,7.33,5729
12637,Mo Gyutto Love de Sekkinchuu!,Music,Music,1,7.32,6713
12623,Egomama,Music,Music,1,7.29,1471
34085,Sakura Nagashi,"Action, Drama, Mecha, Music, Sci-Fi",Music,1,7.29,2945
12079,Black★Rock Shooter,"Action, Music",Music,1,7.29,40641
4705,Tengen Toppa Gurren Lagann: Parallel Works,Music,Music,8,7.27,22213
23043,Re Boot,"Drama, Music, School, Slice of Life",Music,1,7.25,1544
6548,Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,"Ecchi, Music",Music,1,7.25,18991
30771,Mudai,"Drama, Music, Romance, Slice of Life",Music,1,7.24,1242
9733,The TV Show,Music,Music,1,7.21,2066
9907,Bokura no Live Kimi to no Life,Music,Music,1,7.2,10426
32030,MEMORiES MELODiES,Music,Music,1,7.15,699
11487,Sekiranun Graffiti,Music,Music,1,7.11,4014
6749,Prince of Tennis: The Band of Princes Film Kick the Future,"Action, Music",Music,1,7.1,3826
32700,Heart Realize,Music,Music,1,7.09,1626
10720,Korekuraide Utau,Music,Music,1,7.09,1395
8348,Tengen Toppa Gurren Lagann: Parallel Works 2,"Mecha, Music",Music,7,7.09,13361
30903,Children Record,Music,Music,2,7.06,745
32468,Nirvana,Music,Music,1,7.06,1760
21409,The iDOLM@STER Cinderella Girls 2nd Anniversary PV,Music,Music,1,7.06,2408
15673,Tell Your World,Music,Music,1,7.05,2630
1890,Clover,"Drama, Fantasy, Music, Sci-Fi, Shoujo",Music,1,7.02,8524
2274,CLAMP in Wonderland,Music,Music,1,6.99,12267
2728,TWO-MIX: White Reflection,Music,Music,1,6.96,1708
13281,FlashBack,Music,Music,1,6.94,1508
13053,Aimai Elegy,Music,Music,1,6.91,1646
33420,RESTART POiNTER,Music,Music,1,6.91,364
25375,Moon Pride,"Magic, Music, Romance, Supernatural",Music,1,6.89,2478
22513,Freely Tomorrow,Music,Music,1,6.87,1199
12659,Nisoku Hokou,Music,Music,1,6.86,1116
24823,Days,Music,Music,1,6.83,2907
28789,3-gatsu no Lion meets Bump of Chicken,"Drama, Music, Seinen",Music,1,6.8,2160
6666,Passion,Music,Music,1,6.78,2100
8230,True Tears Epilogue,"Drama, Music, Romance",Music,1,6.78,8053
2953,Egao,"Music, Slice of Life",Music,1,6.77,8814
4467,Universe,"Fantasy, Music",Music,1,6.77,1275
12935,Utakata Hanabi,Music,Music,1,6.75,1375
1998,Amazing Nuts!,"Adventure, Music, Police, Romance, Sci-Fi",Music,4,6.74,6650
5016,Fluximation,Music,Music,14,6.74,2240
1958,Wish,Music,Music,1,6.74,5321
30103,Precure All Stars Movie: Haru no Carnival♪ - Ima Koko kara,"Fantasy, Magic, Music, Shoujo",Music,1,6.7,501
20613,Viva Namida,Music,Music,1,6.7,2376
6533,Atarashii Sekai,Music,Music,1,6.69,1477
6137,Tsuki no Waltz,Music,Music,1,6.69,1499
21451,Nihonbashi Koukashita R Keikaku,Music,Music,1,6.68,1325
2729,X²: Double X,"Drama, Music, Shoujo",Music,1,6.68,2976
31048,Burenai Ai de,Music,Music,1,6.67,522
12661,Light Lag,Music,Music,1,6.66,891
32446,MONSTER GENERATiON,Music,Music,1,6.66,468
18799,Take Your Way,"Action, Music, Seinen, Supernatural",Music,1,6.66,1387
11583,Kami nomi zo Shiru Sekai: Natsu-iro Surprise,Music,Music,1,6.65,5772
17913,Redial,Music,Music,1,6.66,1710
32311,Beautiful World,"Action, Drama, Mecha, Music, Sci-Fi",Music,1,6.62,1215
11507,Kami nomi zo Shiru Sekai: Nonstop!! Hunters,Music,Music,1,6.62,6634
32031,Leopard Eyes,Music,Music,1,6.62,473
21103,Utopia,Music,Music,1,6.59,3519
7295,Koi Tsubomi,"Fantasy, Music",Music,1,6.58,1242
8603,Tegami: Haikei Juugo no Kimi e,"Music, School, Slice of Life",Music,1,6.58,653
19081,Weekender Girl,Music,Music,1,6.58,1174
30907,Eine Kleine,"Drama, Music, Romance, Slice of Life",Music,1,6.57,261
21041,Follow Me,"Drama, Music, Romance, Slice of Life",Music,1,6.55,1165
9035,Lupin the Third,"Adventure, Music",Music,1,6.55,1484
4890,Peut-etre Toi,Music,Music,1,6.55,1532
10849,Shinryaku! Ika Musume: Ika Ice Tabena-ika?,Music,Music,1,6.54,3600
15453,Shinryaku! Ika Musume: Kore ga Umi e no Ai Jana-ika!,Music,Music,1,6.54,2162
7659,Aisubeki Mirai e,Music,Music,1,6.52,966
22049,Just Awake,"Action, Music, Sci-Fi",Music,1,6.52,1057
13153,Renkyori Enai,Music,Music,1,6.52,719
31894,The iDOLM@STER Million Live! &quot;Dreaming!&quot; Animation PV,Music,Music,1,6.52,658
17010,Yasashii March: The Tender March,Music,Music,1,6.52,699
17068,Transfer,"Action, Music",Music,1,6.45,797
33689,Dive to Blue,Music,Music,1,6.44,199
34252,STAR BEAT!: Hoshi no Kodou,Music,Music,1,6.39,230
3507,Survival,"Dementia, Drama, Music, Psychological, School, Supernatural",Music,1,6.42,2153
