anime_id,name,genre,type,episodes,rating,members
3167,Eve no Jikan,"Sci-Fi, Slice of Life",ONA,6,8.26,99074
6505,There She Is!!,"Comedy, Romance",ONA,5,8.11,13935
32613,Elsword: El Lady,"Action, Fantasy",ONA,12,8.11,3846
31973,Mobile Suit Gundam Thunderbolt,"Action, Drama, Mecha, Military, Sci-Fi, Space",ONA,4,8.0,14419
15195,Hetalia: The Beautiful World,"Comedy, Historical, Parody",ONA,20,7.98,34960
8479,Hetalia World Series,"Comedy, Historical, Parody",ONA,48,7.95,64416
32863,Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen,"Action, Comedy, School, Shounen",ONA,8,7.88,7999
33446,Huyao Xiao Hongniang: Yue Hong,"Comedy, Romance",ONA,13,7.87,1043
4177,Bounen no Xamdou,"Action, Military, Sci-Fi",ONA,26,7.82,79026
33209,Huyao Xiao Hongniang: Wangquan Fugui,"Comedy, Romance, Supernatural",ONA,14,7.8,1119
32268,Koyomimonogatari,"Comedy, Mystery, Supernatural",ONA,12,7.77,45632
5060,Hetalia Axis Powers,"Comedy, Historical, Parody",ONA,52,7.76,144898
8532,Katekyo Hitman Reborn! Special,"Comedy, Shounen",ONA,1,7.73,19991
32668,Noblesse: Awakening,"Action, School, Supernatural, Vampire",ONA,1,7.72,28864
33350,Zhen Hun Jie,"Action, Supernatural",ONA,24,7.72,2480
14123,Pokemon Black and White 2: Introduction Movie,"Action, Fantasy, Kids",ONA,1,7.71,8554
33605,Ling Qi,"Action, Comedy, Magic, Supernatural",ONA,20,7.69,2673
10020,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"Comedy, Seinen, Slice of Life",ONA,4,7.66,101495
5118,Suzumiya Haruhi-chan no Yuuutsu,"Comedy, Parody",ONA,25,7.63,70416
33091,Planetarian: Chiisana Hoshi no Yume,"Drama, Sci-Fi",ONA,5,7.61,38303
28607,Hetalia: The World Twinkle,"Comedy, Historical, Parody",ONA,15,7.58,15872
28149,Nihon Animator Mihonichi,"Action, Dementia, Ecchi, Fantasy, Mecha, Military, Music, School, Sci-Fi, Space, Supernatural",ONA,35,7.56,16942
31499,Huyao Xiao Hongniang,"Comedy, Romance",ONA,13,7.48,2696
10464,Seitokai no Ichizon Lv.2,"Comedy, Harem, Parody, School",ONA,10,7.48,41169
33969,Shuangsheng Lingtan,"Mystery, Psychological",ONA,20,7.45,1227
27957,Steins;Gate: Soumei Eichi no Cognitive Computing,Comedy,ONA,4,7.45,34426
10711,Plastic Neesan,"Comedy, School",ONA,12,7.41,83977
10448,Rain Town,Drama,ONA,1,7.38,12489
20359,Yamada-kun to 7-nin no Majo,"Comedy, School, Shounen, Supernatural",ONA,1,7.37,23937
21073,Puchimas!!: Petit Petit iDOLM@STER,"Comedy, Slice of Life",ONA,74,7.35,5359
32323,Aishen Qiaokeli-ing...,"Comedy, Harem, Romance, School",ONA,15,7.33,11936
1205,Aru Tabibito no Nikki,"Adventure, Fantasy",ONA,6,7.33,15565
1299,Flag,"Mecha, Military",ONA,13,7.33,10531
