count,geometryx,geometryy,x_screen,y_screen
3,-0.13793,51.513418,314.4917326,321.4091085
2,-0.137883,51.513361,319.4455326,331.0991085
1,-0.137853,51.513317,322.6075326,338.5791085
1,-0.137812,51.513262,326.9289326,347.9291085
4,-0.137767,51.513204,331.6719326,357.7891085
2,-0.137537,51.513184,355.9139326,361.1891085
2,-0.1382,51.513359,286.0337326,331.4391085
2,-0.138045,51.513328,302.3707326,336.7091085
3,-0.138276,51.513323,278.0233326,337.5591085
2,-0.138223,51.513427,283.6095326,319.8791085
2,-0.138337,51.513381,271.5939326,327.6991085
1,-0.138563,51.513462,247.7735326,313.9291085
3,-0.138426,51.513216,262.2133326,355.7491085
1,-0.138378,51.513169,267.2725326,363.7391085
4,-0.138337,51.513116,271.5939326,372.7491085
1,-0.138645,51.51324,239.1307326,351.6691085
1,-0.138698,51.513164,233.5445326,364.5891085
1,-0.137924,51.513178,315.1241326,362.2091085
4,-0.137865,51.513111,321.3427326,373.5991085
3,-0.137811,51.513055,327.0343326,383.1191085
2,-0.138762,51.513441,226.7989326,317.4991085
1,-0.138799,51.513592,222.8991326,291.8291085
2,-0.139045,51.513402,196.9707326,324.1291085
2,-0.13897,51.51338,204.8757326,327.8691085
2,-0.138863,51.513411,216.1535326,322.5991085
1,-0.138752,51.513641,227.8529326,283.4991085
1,-0.138808,51.513693,221.9505326,274.6591085
3,-0.138856,51.513745,216.8913326,265.8191085
1,-0.138887,51.513676,213.6239326,277.5491085
1,-0.139239,51.51359,176.5231326,292.1691085
1,-0.139321,51.513663,167.8803326,279.7591085
1,-0.139316,51.513502,168.4073326,307.1291085
2,-0.139616,51.513583,136.7873326,293.3591085
2,-0.139719,51.513541,125.9311326,300.4991085
1,-0.140074,51.513298,88.51413256,341.8091085
1,-0.139094,51.513291,191.8061326,342.9991085
1,-0.139697,51.513013,128.2499326,390.2591085
1,-0.139327,51.512965,167.2479326,398.4191085
2,-0.139317,51.512893,168.3019326,410.6591085
8,-0.139187,51.512964,182.0039326,398.5891085
2,-0.139036,51.513025,197.9193326,388.2191085
1,-0.139209,51.513027,179.6851326,387.8791085
1,-0.138427,51.512831,262.1079326,421.1991085
1,-0.138624,51.512885,241.3441326,412.0191085
1,-0.138096,51.512526,296.9953326,473.0491085
1,-0.138035,51.512465,303.4247326,483.4191085
4,-0.137984,51.512428,308.8001326,489.7091085
1,-0.138065,51.512415,300.2627326,491.9191085
1,-0.138194,51.51251,286.6661326,475.7691085
1,-0.137818,51.512378,326.2965326,498.2091085
1,-0.137656,51.512447,343.3713326,486.4791085
4,-0.137584,51.512491,350.9601326,478.9991085
1,-0.13765,51.512374,344.0037326,498.8891085
1,-0.13745,51.512339,365.0837326,504.8391085
1,-0.137376,51.512364,372.8833326,500.5891085
1,-0.137327,51.512319,378.0479326,508.2391085
1,-0.13698,51.51254,414.6217326,470.6691085
2,-0.13718,51.512649,393.5417326,452.1391085
1,-0.137052,51.512692,407.0329326,444.8291085
1,-0.137695,51.512957,339.2607326,399.7791085
1,-0.137533,51.512765,356.3355326,432.4191085
2,-0.137419,51.51278,368.3511326,429.8691085
1,-0.137368,51.512726,373.7265326,439.0491085
1,-0.137325,51.512681,378.2587326,446.6991085
2,-0.137531,51.512914,356.5463326,407.0891085
2,-0.137562,51.513046,353.2789326,384.6491085
1,-0.137466,51.513074,363.3973326,379.8891085
2,-0.137386,51.513087,371.8293326,377.6791085
3,-0.137306,51.513122,380.2613326,371.7291085
1,-0.137089,51.513187,403.1331326,360.6791085
4,-0.136996,51.513214,412.9353326,356.0891085
15,-0.136859,51.513249,427.3751326,350.1391085
3,-0.136778,51.513271,435.9125326,346.3991085
4,-0.136705,51.5133,443.6067326,341.4691085
5,-0.136493,51.51316,465.9515326,365.2691085
2,-0.13633,51.513016,483.1317326,389.7491085
1,-0.136424,51.512921,473.2241326,405.8991085
2,-0.136523,51.51289,462.7895326,411.1691085
1,-0.136599,51.512859,454.7791326,416.4391085
1,-0.136699,51.51283,444.2391326,421.3691085
1,-0.136819,51.512782,431.5911326,429.5291085
1,-0.136973,51.512729,415.3595326,438.5391085
1,-0.136358,51.512868,480.1805326,414.9091085
1,-0.13663,51.512723,451.5117326,439.5591085
1,-0.136584,51.512654,456.3601326,451.2891085
1,-0.136423,51.512713,473.3295326,441.2591085
1,-0.136345,51.512615,481.5507326,457.9191085
1,-0.136437,51.512491,471.8539326,478.9991085
1,-0.136377,51.512449,478.1779326,486.1391085
1,-0.136197,51.512465,497.1499326,483.4191085
1,-0.136142,51.512413,502.9469326,492.2591085
2,-0.136102,51.512358,507.1629326,501.6091085
1,-0.13603,51.512271,514.7517326,516.3991085
1,-0.13631,51.512355,485.2397326,502.1191085
4,-0.13594,51.511991,524.2377326,563.9991085
2,-0.135858,51.512083,532.8805326,548.3591085
1,-0.1358,51.512031,538.9937326,557.1991085
4,-0.135717,51.51197,547.7419326,567.5691085
4,-0.135119,51.511882,610.7711326,582.5291085
1,-0.135144,51.51205,608.1361326,553.9691085
4,-0.135394,51.51225,581.7861326,519.9691085
1,-0.135409,51.512162,580.2051326,534.9291085
